lid,longitude,latitude,naics_code,num_visits
2985650,-79.237596,37.339369,445110.0,3
2990005,-79.7201885,37.1205105,453998.0,1
2990092,-79.8933815,36.9992435,453220.0,1
2995177,-79.942588,37.3293375,238220.0,2
2995394,-79.283209,37.884215,447110.0,2
2995395,-79.283209,37.884215,447110.0,1
2995403,-79.5022925,37.9930235,452319.0,2
2995404,-79.5022925,37.9930235,452319.0,1
2995417,-79.4494045,37.6309655,532120.0,1
2996706,-81.05682,36.949699,722511.0,2
2999412,-78.8542805,38.4256865,523120.0,1
2999526,-79.2339146158077,37.4162955742622,541940.0,1
2999597,-79.1730405,37.4121285,524126.0,2
2999598,-79.1730405,37.4121285,524126.0,1
2999599,-79.1730405,37.4121285,524126.0,2
2999610,-79.141417,37.4126295,561622.0,3
2999618,-79.144639,37.4146445,445110.0,1
2999618,-79.144639,37.4146445,561510.0,1
2999660,-79.1660275,37.404648,452319.0,3
2999714,-79.15986,37.3782775,444130.0,2
2999747,-79.228569,37.3504765,812112.0,2
3001197,-80.5898695,37.1192115,447110.0,1
3001198,-80.5898695,37.1192115,447110.0,1
3001945,-79.9627525,37.278848,811111.0,8
3002096,-80.076841,37.288809,323111.0,2
3485051,-79.728106,37.382307,447110.0,22
3485052,-79.728106,37.382307,447110.0,94
3485053,-79.728106,37.382307,447110.0,63
3485054,-79.728106,37.382307,447110.0,31
3485086,-79.9060395,37.395958,721110.0,21
3485137,-79.811893,37.3724975,811111.0,60
3485251,-79.245149,37.331395,335312.0,1
3485307,-79.2847715,37.1134115,812112.0,3
3485308,-79.2847715,37.1134115,812112.0,1
3485311,-79.2847715,37.1134115,812112.0,1
3493695,-80.4313854410067,37.1268414448456,321918.0,1
3493742,-80.2404405,37.2327835,447110.0,2
3493742,-80.2404405,37.2327835,722513.0,2
3495215,-80.0146625,37.223141,812112.0,1
3495216,-80.0146625,37.223141,812112.0,2
3495217,-80.0146625,37.223141,812112.0,3
3495369,-79.984123,37.2231425,492110.0,3
3495369,-79.984123,37.2231425,541213.0,3
3495371,-79.984123,37.2231425,492110.0,6
3495371,-79.984123,37.2231425,541213.0,6
3495372,-79.984123,37.2231425,492110.0,1
3495372,-79.984123,37.2231425,541213.0,1
3495373,-79.984123,37.2231425,492110.0,6
3495373,-79.984123,37.2231425,541213.0,6
3495374,-79.984123,37.2231425,492110.0,4
3495374,-79.984123,37.2231425,541213.0,4
3495376,-79.984123,37.2231425,492110.0,1
3495376,-79.984123,37.2231425,541213.0,1
3495377,-79.984123,37.2231425,492110.0,2
3495377,-79.984123,37.2231425,541213.0,2
3495378,-79.984123,37.2231425,492110.0,5
3495378,-79.984123,37.2231425,541213.0,5
3495379,-79.984123,37.2231425,492110.0,1
3495379,-79.984123,37.2231425,541213.0,1
3495381,-79.984123,37.2231425,492110.0,1
3495381,-79.984123,37.2231425,541213.0,1
3495383,-79.984123,37.2231425,492110.0,2
3495383,-79.984123,37.2231425,541213.0,2
3495384,-79.984123,37.2231425,492110.0,4
3495384,-79.984123,37.2231425,541213.0,4
3495385,-79.984123,37.2231425,492110.0,1
3495385,-79.984123,37.2231425,541213.0,1
3495386,-79.984123,37.2231425,492110.0,10
3495386,-79.984123,37.2231425,541213.0,10
3495425,-79.8890645,37.2718605,445310.0,2
3496458,-81.798783,37.094717,813910.0,1
3496897,-80.9926375,36.938734,311811.0,1
3496897,-80.9926375,36.938734,447110.0,1
3496897,-80.9926375,36.938734,722515.0,1
3496898,-80.9926375,36.938734,311811.0,1
3496898,-80.9926375,36.938734,447110.0,1
3496898,-80.9926375,36.938734,722515.0,1
3496916,-81.095257,36.9571545,722513.0,1
3496918,-81.0972355,36.9586995,443142.0,2
3496918,-81.0972355,36.9586995,517312.0,2
3496918,-81.0972355,36.9586995,722513.0,2
3496918,-81.0972355,36.9586995,722515.0,2
3496919,-81.0972355,36.9586995,443142.0,2
3496919,-81.0972355,36.9586995,517312.0,2
3496919,-81.0972355,36.9586995,722513.0,2
3496919,-81.0972355,36.9586995,722515.0,2
3496920,-81.0972355,36.9586995,443142.0,1
3496920,-81.0972355,36.9586995,517312.0,1
3496920,-81.0972355,36.9586995,722513.0,1
3496920,-81.0972355,36.9586995,722515.0,1
3496942,-81.07913,36.9550035,441310.0,1
3499535,-79.21257,37.41048,722511.0,2
3499669,-79.1843415,37.3716065,522110.0,2
3499670,-79.1843415,37.3716065,522110.0,1
3499671,-79.1843415,37.3716065,522110.0,1
3499672,-79.1843415,37.3716065,522110.0,1
3501835,-79.9034664692017,37.2934947135637,326212.0,4
3501835,-79.9034664692017,37.2934947135637,441320.0,4
3503843,-78.174275,39.1864925,522390.0,1
3985690,-79.2418535,37.3856425,722513.0,3
3985798,-79.7539015,37.49844,812210.0,22
3985936,-79.1058285,37.2735255,447110.0,1
3985938,-79.1058285,37.2735255,447110.0,2
3985985,-79.213838,37.333653,323111.0,1
3985987,-79.213838,37.333653,323111.0,1
3992339,-79.858856,36.627273,722513.0,1
3995280,-80.7510175,37.053083,722513.0,6
3995358,-79.994896,37.329061,524126.0,2
3995371,-79.934122,37.328839,311811.0,2
3995415,-79.981886,37.3330685,444130.0,1
3995634,-79.231939,37.9321135,447110.0,2
3995634,-79.231939,37.9321135,722515.0,2
3995635,-79.231939,37.9321135,447110.0,1
3995635,-79.231939,37.9321135,722515.0,1
3995636,-79.231939,37.9321135,447110.0,3
3995636,-79.231939,37.9321135,722515.0,3
3995637,-79.231939,37.9321135,447110.0,1
3995637,-79.231939,37.9321135,722515.0,1
3999400,-79.2186856001168,37.4473583428627,531210.0,2
3999578,-79.1844355,37.3559775,722511.0,1
4001818,-80.0962175,37.290099,452319.0,4
4001819,-80.0962175,37.290099,452319.0,5
4001833,-80.0558165,37.290958,524126.0,2
4001839,-80.058526,37.2855325,522390.0,6
4001840,-80.058526,37.2855325,522390.0,3
4001841,-80.058526,37.2855325,522390.0,1
8688877,-80.081908,37.2891235,722513.0,3
8688918,-80.137389,37.272741,447110.0,5
8689225,-79.7915945,37.798338,491110.0,1
8691674,-79.9090755,37.289328,441310.0,5
8692058,-79.4975985,37.323391,722513.0,3
8692058,-79.4975985,37.323391,722515.0,3
8693254,-79.7915945,37.798338,491110.0,9
8694701,-79.5247355,37.3345925,522110.0,7
8694854,-79.9387395,37.2692005,492110.0,1
8694854,-79.9387395,37.2692005,522110.0,1
8694854,-79.9387395,37.2692005,523120.0,1
8694908,-79.526525,37.3350795,522110.0,4
8695463,-79.9387395,37.2692005,492110.0,4
8695463,-79.9387395,37.2692005,522110.0,4
8695463,-79.9387395,37.2692005,523120.0,4
8696479,-79.291597,37.10828,722513.0,2
8698867,-79.1551015,37.4135825,712110.0,2
8699655,-79.875478,36.6962665,722513.0,1
8700179,-79.8850485,37.7912315,721110.0,1
